
2025-07-29 21:44:11 | INFO     | database_manager     | Calculated performance: 100.0% (average of 2 cycles)
2025-07-29 21:44:11 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 2 total)
2025-07-29 21:44:11 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-29 21:44:13 | INFO     | main                 | Detection triggered - Operator cycle time: 2.41s
2025-07-29 21:44:13 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:44:13 | INFO     | inference_engine     | Inference completed in 29.0ms - Status: DEFECT DETECTED
2025-07-29 21:44:13 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:44:13 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 7.0s)
2025-07-29 21:44:13 | INFO     | database_manager     | Calculated performance: 100.0% (average of 3 cycles)
2025-07-29 21:44:13 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 3 total)
2025-07-29 21:44:13 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-29 21:44:14 | INFO     | main                 | Detection triggered - Operator cycle time: 0.84s
2025-07-29 21:44:14 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:44:14 | INFO     | inference_engine     | Inference completed in 33.5ms - Status: DEFECT DETECTED
2025-07-29 21:44:14 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:44:14 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 7.9s)
2025-07-29 21:44:14 | INFO     | database_manager     | Calculated performance: 100.0% (average of 4 cycles)
2025-07-29 21:44:14 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 4 total)
2025-07-29 21:44:14 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-29 21:44:15 | INFO     | main                 | Detection triggered - Operator cycle time: 0.71s
2025-07-29 21:44:15 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:44:15 | INFO     | inference_engine     | Inference completed in 30.1ms - Status: DEFECT DETECTED
2025-07-29 21:44:15 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:44:15 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 8.7s)
2025-07-29 21:44:15 | INFO     | database_manager     | Calculated performance: 100.0% (average of 5 cycles)
2025-07-29 21:44:15 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 5 total)
2025-07-29 21:44:15 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-29 21:44:16 | INFO     | main                 | Detection triggered - Operator cycle time: 0.94s
2025-07-29 21:44:16 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:44:16 | INFO     | inference_engine     | Inference completed in 29.0ms - Status: DEFECT DETECTED
2025-07-29 21:44:16 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:44:16 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 9.7s)
2025-07-29 21:44:16 | INFO     | database_manager     | Calculated performance: 100.0% (average of 6 cycles)
2025-07-29 21:44:16 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 6 total)
2025-07-29 21:44:16 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-29 21:45:16 | INFO     | main                 | Shift #1 ended
2025-07-29 21:45:16 | INFO     | main                 | Final shift metrics - Parts: 0, Defects: 0, OEE: 0.0%
2025-07-30 12:11:57 | INFO     | main                 | Initializing GUI application
2025-07-30 12:11:58 | INFO     | model_manager        | ModelManager initialized with device: cuda
2025-07-30 12:11:58 | INFO     | model_manager        | CUDA GPU available: NVIDIA GeForce RTX 4070 Laptop GPU
2025-07-30 12:11:58 | INFO     | database_manager     | DatabaseManager initializing with database: production_data.db
2025-07-30 12:11:58 | INFO     | database_manager     | Database schema initialized successfully: production_data.db
2025-07-30 12:11:58 | INFO     | main                 | GUI application initialized successfully
2025-07-30 12:12:32 | INFO     | main                 | User selected model file: C:/Work_Folder/Python_Code/Project_Code/detection software v1/models/trained_yolo11n.pt
2025-07-30 12:12:32 | INFO     | main                 | Starting model loading in background thread
2025-07-30 12:12:32 | INFO     | model_manager        | Loading YOLO model: C:/Work_Folder/Python_Code/Project_Code/detection software v1/models/trained_yolo11n.pt
2025-07-30 12:12:32 | INFO     | model_manager        | YOLO model loaded successfully in 0.62s
2025-07-30 12:12:32 | INFO     | model_manager        | Starting model warm-up process...
2025-07-30 12:12:35 | INFO     | model_manager        | Model warm-up completed in 2.30s (3 inference cycles)
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-30 12:12:49 | INFO     | main                 | New shift #1 started successfully
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-30 12:12:49 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-30 12:12:52 | INFO     | main                 | Detection triggered - First cycle of shift
2025-07-30 12:12:52 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-30 12:12:52 | INFO     | inference_engine     | Inference completed in 180.1ms - Status: DEFECT DETECTED
2025-07-30 12:12:52 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-30 12:12:52 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 3.2s)
2025-07-30 12:12:52 | INFO     | database_manager     | Calculated performance: 100.0% (average of 1 cycles)
2025-07-30 12:12:52 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 1 total)
2025-07-30 12:12:52 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-30 12:13:22 | INFO     | main                 | Shift #1 ended
2025-07-30 12:13:22 | INFO     | main                 | Final shift metrics - Parts: 0, Defects: 0, OEE: 0.0%
